摩西书1:1	这些是摩西被提到一座非常高的山上时，神对摩西说的话，
摩西书1:2	他面对面看见神，与神说话，神的荣耀临到摩西身上；所以摩西能承受祂的同在。
摩西书1:3	神对摩西说：看啊，我是全能的主神，无限是我的名；我没有开始之日或终止之年；这不就是无限吗？
摩西书1:4	看啊，你是我的儿子；所以，看，我要向你显示我亲手造的；但不是全部，因为我的事工没有终止，我的话也一样，因为我的话永不停止。
摩西书1:5	所以，没有人能看到我全部的事工，除非他看到我全部的荣耀；没有人能在看到我全部的荣耀之后，在肉身中继续留在地上。
摩西书1:6	我儿摩西，我有件事工给你；你跟我的独生子相像；我的独生子现在和将来都是救主，祂充满恩典与真理；但是，除了我之外，没有别的神，所有的事物都在我面前，也就是我知道所有的事物。
摩西书1:7	现在，我儿摩西，看啊，我向你显示这一件事，因为你在世界上，我现在就向你显示。
摩西书1:8	事情是这样的，摩西观看，看到了他被创造在其上的世界；摩西看到了世界及其各端，也看到了所有现在和过去被创造的人类儿女；他对所看到的这一切感到极为惊奇诧异。
摩西书1:9	神的同在从摩西那里退去，祂的荣耀就不在摩西身上；摩西独自留在那里。当他独自留在那里时，他倒在地上。
摩西书1:10	事情是这样的，过了好几个小时后，摩西才恢复一般人正常的力气；他对自己说：现在，这样看来，我知道人算不得什么，这是我从来没想到的事。
摩西书1:11	但是现在我自己的眼睛看到了神；但不是我的肉眼，而是我灵性的眼睛，因为我的肉眼不能看见，不然我就会在祂的面前枯萎而且死亡；然而祂的荣耀在我身上；我看到了祂的脸，因为我在祂面前改变了形像。
摩西书1:12	事情是这样的，摩西说了这些话后，看啊，撒但就来试探他，说：人的儿子摩西，崇拜我。
摩西书1:13	事情是这样的，摩西看着撒但说：你是谁？看啊，我是神的一个儿子，跟祂的独生子相像；而你的荣耀在哪里，要我崇拜你？
摩西书1:14	因为看啊，我不能看着神，除非祂的荣耀降在我身上，而我在祂面前改变了形像。但是我能以自然的人看着你。真的是这样，不是吗？
摩西书1:15	我神的名是应当称颂的，祂的灵没有完全从我身上退去，然而你的荣耀在哪里？因为那对我来说是黑暗。我能辨别你和神；因神曾对我说：崇拜神，单要事奉祂。
摩西书1:16	你离开，撒但；不要欺骗我；因神曾对我说：你跟我的独生子相像。
摩西书1:17	祂从燃烧的荆棘中呼唤我时，也给我诫命，说：奉我独生子的名呼求神，崇拜我。
摩西书1:18	摩西又说：我不会停止呼求神，我有其他事情要求问祂：祂的荣耀曾经在我身上，所以我能辨别祂和你。走开吧，撒但。
摩西书1:19	当摩西说了这些话后，撒但就大声喊叫，在地上咆哮并命令说：我是独生子，崇拜我。
摩西书1:20	事情是这样的，摩西开始非常害怕；他开始害怕的时候，就看到了地狱的痛苦。然而，他呼求神，获得了力量，他命令说：离开我，撒但，因为只有这位神是我要崇拜的，祂是荣耀之神。
摩西书1:21	于是撒但开始颤抖，大地震动；而摩西获得了力量，呼求神，说：奉独生子的名，走开吧，撒但。
摩西书1:22	事情是这样的，撒但一边大声喊叫，一边哭泣、哀号、切齿；他走开了，从摩西面前走开，摩西就看不见他。
摩西书1:23	摩西为这件事作过见证；但是由于邪恶，这见证未存在于人类儿女中。
摩西书1:24	事情是这样的，撒但从摩西面前离开后，摩西举目向天，充满了圣灵，那灵为父与子作见证；
摩西书1:25	他呼求神的名时，又见到了神的荣耀，因那荣耀临到他身上；然后他听到一个声音说：摩西，你有福了，因为我——全能者，拣选了你，将使你比诸水强；诸水将服从你的命令，好像你是神那样。
摩西书1:26	看，我与你同在，直到你日子的终了；你要拯救我的人民，即我所拣选的以色列民，脱离束缚。
摩西书1:27	事情是这样的，那声音还在说话时，摩西看过去，看到了大地，是的，整个大地；没有一丁点他看不到，他借神的灵辨识。
摩西书1:28	他也看到了大地的居民，没有一个灵魂他没看到；他借神的灵辨识他们；他们的数目很大，像海边的沙那样数不清。
摩西书1:29	他看到了许多土地，每一块土地都叫作大地，地面上有居民。
摩西书1:30	事情是这样的，摩西呼求神，说：我祈求您，请告诉我，这些事物为什么是这样？您借什么造这些？
摩西书1:31	看啊，主的荣耀临到摩西身上，以致摩西站在神的面前，和神面对面讲话。主神对摩西说：我为了我自己的目的造了这些。在这里有智慧，它留在我里面。
摩西书1:32	我借我能力的话语，创造了这些，祂是我的独生子，充满恩典与真理。
摩西书1:33	我创造了无数的世界；这些也是我为了自己的目的创造的；我借着子创造了这些，祂是我的独生子。
摩西书1:34	所有的人当中的第一人，我称为亚当，就是许多。
摩西书1:35	但是我只给你有关这大地和大地居民的记事。看啊，有许多世界已借我能力的话语消逝了。有许多现在还存在，对人而言它们都是数不清的；但是所有的事物对我而言都是有数的，因为它们是我的，我知道它们。
摩西书1:36	事情是这样的，摩西对主说：神啊，怜悯您的仆人，告诉我有关这大地、大地居民和诸天的事，这样您的仆人就满足了。
摩西书1:37	主神对摩西说：诸天，有很多，对人而言是无法数的，但是对我而言是有数的，因为它们是我的。
摩西书1:38	正如一个大地和其上的诸天会消逝，就有另一个会来到；我的事工没有终止，我的话也没有终止。
摩西书1:39	看啊，这就是我的事工和我的荣耀——促成人的不死和永生。
摩西书1:40	现在，我儿摩西，我要告诉你有关你站立于其上的这个大地的事；你要把我说的写下来。
摩西书1:41	在人类儿女视我的话为无物，又从你写的书中删掉我许多话的那天，看啊，我必兴起另一个像你这样的人；这些话必再度存在于人类儿女中间——在所有相信的人中间。
摩西书1:42	（这些话是在那山上对摩西说的，那座山的名称不会让人类儿女知道。现在，这些话都对你说了。除了相信的人之外，不要向任何人显示这些话。正如这样。阿们。）
摩西书2:1	事情是这样的，主对摩西说：看啊，我向你显示有关这天和这地的事；把我说的话写下来。我是开始也是结束，是全能的神；我借我的独生子创造了这些；是的，在起初我创造了天和你所站立的地。
摩西书2:2	地是空虚混沌；我使渊面黑暗；我的灵运行在水面上；因为我是神。
摩西书2:3	我，神说：要有光；就有了光。
摩西书2:4	我，神，看见了光，那光是好的。于是我，神，就把光暗分开了。
摩西书2:5	我，神，称光为昼，称暗为夜；我借我能力的话语这么做，事就照我说的成了；有晚上，有早晨，这是头一日。
摩西书2:6	还有，我，神说：这水之间要有穹苍，事就照我所说的成了；我又说，穹苍要将诸水分开；事就成了；
摩西书2:7	我，神，造了穹苍，分开了诸水，是的，穹苍之下的大水与穹苍之上的诸水分开，事就照我所说的成了。
摩西书2:8	我，神，称穹苍为天，有晚上，有早晨，这是第二日。
