马太福音1:1	　亚伯拉罕的后裔，大卫的子孙，耶稣基督的家谱：
马太福音1:2	　亚伯拉罕生以撒；以撒生雅各；雅各生犹大和他的弟兄；
马太福音1:3	　犹大从她玛氏生法勒斯和谢拉；法勒斯生希斯仑；希斯仑生亚兰；
马太福音1:4	　亚兰生亚米拿达；亚米拿达生拿顺；拿顺生撒门；
马太福音1:5	　撒门从喇合氏生波阿斯；波阿斯从路得氏生俄备得；俄备得生耶西；
马太福音1:6	　耶西生大卫王；大卫从乌利亚的妻子生所罗门；
马太福音1:7	　所罗门生罗波安；罗波安生亚比雅；亚比雅生亚撒；
马太福音1:8	　亚撒生约沙法；约沙法生约兰；约兰生乌西雅；
马太福音1:9	　乌西雅生约坦；约坦生亚哈斯；亚哈斯生希西家；
马太福音1:10	　希西家生玛拿西；玛拿西生亚们；亚们生约西亚；
马太福音1:11	　百姓被迁到巴比伦的时候，约西亚生耶哥尼雅和他的弟兄。
马太福音1:12	　迁到巴比伦之后，耶哥尼雅生撒拉铁；撒拉铁生所罗巴伯；
马太福音1:13	　所罗巴伯生亚比玉；亚比玉生以利亚敬；以利亚敬生亚所；
马太福音1:14	　亚所生撒督；撒督生亚金；亚金生以律；
马太福音1:15	　以律生以利亚撒；以利亚撒生马但；马但生雅各；
马太福音1:16	　雅各生约瑟，就是马利亚的丈夫。那称为基督的耶稣是从马利亚生的。
马太福音1:17	　这样，从亚伯拉罕到大卫共有十四代；从大卫到迁至巴比伦的时候也有十四代；从迁至巴比伦的时候到基督又有十四代。
马太福音1:18	　耶稣基督降生的事记在下面：他母亲马利亚已经许配了约瑟，还没有迎娶，马利亚就从圣灵怀了孕。
马太福音1:19	　她丈夫约瑟是个义人，不愿意明明地羞辱她，想要暗暗地把她休了。
马太福音1:20	　正思念这事的时候，有主的使者向他梦中显现，说：大卫的子孙约瑟，不要怕！只管娶过你的妻子马利亚来，因她所怀的孕是从圣灵来的。
马太福音1:21	　她将要生一个儿子，你要给他起名叫耶稣，因他要将自己的百姓从罪恶里救出来。
马太福音1:22	　这一切的事成就是要应验主借先知所说的话，
马太福音1:23	　说：必有童女怀孕生子；人要称他的名为以马内利。（以马内利翻出来就是神与我们同在。）
马太福音1:24	　约瑟醒了，起来，就遵着主使者的吩咐把妻子娶过来；
马太福音1:25	　只是没有和她同房。等她生了儿子，就给他起名叫耶稣。
